Nombre Empresa,Descripción,Región,Categoría,URL
BUDGE CHILE SPA,Mantenimiento,XV,?,https://www.linkedin.com/company/budge-oficial/jobs/
PAMPA CAMARONES,EXPLOTACION SALAMANQUEJA,XV,?,https://www.pampacamarones.cl/nuestra-gente/
ATECMIN LTDA.,Insumos,II,?,www.atecmin.cl
GLOBAL GROUP INGENIERIA SPA,,II,?,www.ggingenieria.cl
GREEN LEADER ENVIRONMENTAL & SUSTAINABILITY SERVICES | CHILE,,II,?,www.greenleader.cl
HELI FORKLIFT CHILE,,II,?,www.heliforklift.cl
ICL CATODOS LTDA.,,II,?,www.iclcatodos.com
INGEMARS LABORATORIOS E INSPECCIONES,,II,?,www.ingemars.cl
JOBIN CONSULTORES RECURSOS HUMANOS,,II,?,www.jobin.cl
MINEPARTNER S.A.,,II,?,www.minepartner.cl
MINERA HALDEMAN,FAENA MICHILLA,II,?,https://minerahmc.cl/trabaja-con-nosotros/
NOVAMINE,,II,?,www.novamine.com
"POWERREP, CARRASCO Y CIA. S.A.",,II,?,www.powerrep.cl
T-METAL SPA,,II,?,www.tmetal.cl
TECNOLOGIAS COBRA S.A.,,II,?,www.tecnologiascobra.cl
TORMETAL LTDA.,,II,?,www.tormetal.cl
HIDROMFD COPIAPO S.A.,,III,?,https://hidromfdnorte.cl/about-us/careers/
SOC. CONTRACTUAL MINERA CAROLA ,CAROLA,III,?,https://carola-coemin.cl/trabaja-con-nosotros/
AC PERFORACIONES,Sondajes,IV,?,https://www.linkedin.com/company/ac-perforaciones-s-a-/
AGS,Laboratorio,IV,?,https://www.linkedin.com/company/ageological/?viewAsMember=true
FAMESA CHILE,Tronadura,IV,?,www.famesa.cl
FAREMIN LTDA.,Mantenimiento,IV,?,https://faremin.cl/trabaja-con-nosotros/
HELLEMA HOLLAND ENGINEERING LTDA.,Sondajes,IV,?,https://cl.linkedin.com/company/hellemaholland
INNRA SPA,Sondajes?,IV,?,https://www.innra.cl/trabaja-con-nosotros/
MADEMET,Laboratorio,IV,?,https://www.linkedin.com/company/mademet-servicios/
MOUNTAIN DRILLING LTDA.,Sondajes,IV,?,https://www.mountaindrilling.cl/trabaja-con-nosotros/
OMINT SPA,FAENA TALCUNA (OMINT),IV,?,https://cl.linkedin.com/company/c%C3%ADa-minera-san-ger%C3%B3nimo-cmsg?trk=similar-pages
SIMAQ LTDA.,Izaje,IV,?,https://www.gruasimaq.cl/trabaja-con-nosotros/
A. MARSHALL MOFFAT LTDA.,,V,?,www.marshallmoffat.com
EMELRAS SPA,,V,?,www.emelras.cl
LABORCE INGENIERIA Y SERVICIOS SPA,,V,?,www.laborce.cl
"MARVAL, MARITIMA VALPARAISO CHILE S.A.",,V,?,www.marval.cl
NEXXO S.A.,,V,?,www.nexxo.cl
AGUAEX,,RM,?,www.aguaex.com
AGUAMARKET Y CIA. LTDA.,Tuberias,RM,?,www.aguamarket.com
AGUAS Y RILES S.A.,Aguas negras,RM,?,www.aguasyriles.cl
AMPHOS 21 CONSULTING CHILE LTDA.,,RM,?,www.amphos21.com
APTEC S.A.,Tuberias,RM,?,www.aptec.cl
ARELEC SPA,,RM,?,www.arelec.cl
COMERCIAL HIDROCENTRO,,RM,?,www.comercialhidrocentro.cl
COMPAÑIA INDUSTRIAL EL VOLCAN,,RM,?,www.volcan.cl
CORPLASTIC,,RM,?,www.corplastic.cl
COTACO LTDA.,,RM,?,www.cotaco.cl
CPS CONVEYORS SPA,,RM,?,www.cpsconveyors.cl
DARTEL ELECTRICIDAD,,RM,?,https://www.dartel.cl/trabaja-con-nosotros
DATAMINE,,RM,?,https://dataminesoftware.com/careers/
DERK LTDA.,,RM,?,www.derk.cl
DETROIT CHILE S.A.,,RM,?,https://www.detroit.cl/trabaja-con-nosotros/
DIEXA S.A.,,RM,?,www.diexa.cl
"DIPERK, DISTRIBUIDORA PERKINS CHILENA",,RM,?,www.diperk.cl
DTS,,RM,?,www.dts.cl
DUCASSE COMERCIAL LTDA.,,RM,?,www.ducasse.cl
DUPLEX S.A.,,RM,?,www.duplexchile.cl
DUTCH HOLDING,,RM,?,www.dutchholding.cl
D’BRAVO,,RM,?,www.dbravo.cl
EAGLE COPTERS,,RM,?,www.eaglecopters.cl
ECOLIFE S.A.,,RM,?,www.nicolaides.cl
ECORILES S.A.,,RM,?,www.ecoriles.cl
ELECTRAFK,,RM,?,www.electrafk.cl
ENEL GREEN POWER CHILE,,RM,?,www.enelgreenpower.com/es
ENEL X,,RM,?,www.enelx.com/cl
ENGIE,,RM,?,www.engie.cl
ENORCHILE S.A.,,RM,?,www.enorchile.cl
EPSA CHILE,,RM,?,www.grupoepsa.com
ESI LATAM,,RM,?,www.icpms.com
ESTRUCTURAS DELGADO S.A.,,RM,?,www.emdelgado.cl
F.H. ENGEL S.A.,,RM,?,www.fhengel.cl
FACTORIT,,RM,?,www.factorit.com
FERROVIAL SERVICIOS,,RM,?,www.ferrovialservicios.cl
FIRST RENT A CAR,,RM,?,www.first.cl
FLESAN,,RM,?,www.flesan.cl
FMA INDUSTRIAL CHILE S.A.,,RM,?,www.fmaindustrial.com
FRD CHILE S.A.,,RM,?,www.frdchile.cl
GEOCONSULT LATINOAMERICA S.A.,,RM,?,www.geoconsult.cl
GEOVITA S.A.,,RM,?,www.geovita.cl
GESTION DE PROCESOS INDUSTRIALES LTDA.,,RM,?,www.gpi.cl
GRAFTON RECRUITMENT,,RM,?,www.grafton.cl
GROWTH STEEL SOUTH AMERICA,,RM,?,www.growthsteel.com
HIDROGESTION S.A.,,RM,?,www.hidrogestion.cl
HIDRONOR CHILE,,RM,?,www.hidronor.cl
HOERBIGER S.A.,,RM,?,www.hoerbiger.com
IMDEX,,RM,?,www.imdexlimited.com
INSTITUTO GEOGRAFICO MILITAR,,RM,?,www.igm.cl
ISS FACILITY SERVICES,,RM,?,www.cl.issworld.com
KIBERNUM S.A.,,RM,?,www.kibernum.com
KLINGSPOR,,RM,?,www.klingspor.cl
LIOI Y CIA. LTDA.,,RM,?,www.lioi.cl
LUBRISIDER CHILE S.A.,,RM,?,www.lubrisider.cl
MANTENCION PLANTAS MINERAS,,RM,?,www.mpm.cl
MASTER DRILLING CHILE,,RM,?,www.masterdrilling.com
MATHIESEN S.A.C.,,RM,?,www.grupomathiesen.com
MAXAM CHILE S.A.,,RM,?,www.maxamcorp.com
MESSER GASES LTDA.,,RM,?,www.messer-cl.com
MICHELIN CHILE,,RM,?,www.michelin.cl
MINCON CHILE S.A.,,RM,?,www.mincon.com
MINOVA LATAM,,RM,?,www.minovaglobal.com
MPM LTDA.,,RM,?,www.mpm.cl
MULTISERVICE GRUAS,,RM,?,www.multiservicegruas.com
NDU INGENIERIA LTDA.,,RM,?,www.ndu.cl
OHLA,,RM,?,www.ohla-group.com
OPTIMIZA INGENIERIA Y DESARROLLO,,RM,?,www.optimizaid.com
OPTYTEK,,RM,?,www.optytek.com
OTERO Y DOMINGUEZ LTDA.,,RM,?,www.oteroindustrial.cl
PAR SERVICIOS INTEGRALES S.A.,,RM,?,www.parservicios.com
PILOTES TERRATEST S.A.,,RM,?,www.terratest.cl
PORSCHE CHILE / MAN,,RM,?,www.porsche-chile.cl
POWERTEC BY UPSELEC,,RM,?,www.powertec.cl
PROMINENT CHILE S.A.,,RM,?,www.prominent.cl
RFA INGENIEROS CONSULTORES LTDA.,,RM,?,www.rfa.cl
RIVULIS PLASTRO CHILE,,RM,?,www.rivulis.com
ROCKTOOL LTDA.,,RM,?,www.rocktool.cl
SAS INSTITUTE CHILE,,RM,?,www.sas.com/chile
SCAFOM-RUX CHILE SPA,,RM,?,www.scafom-rux.cl
SERVIPER LTDA.,,RM,?,www.serviper.cl
SIGDO KOPPERS INGENIERIA Y CONSTRUCCION,,RM,?,www.skic.com
SIMMA RENT,,RM,?,www.simmarent.cl
SIMMA TRANS S.A.,,RM,?,www.simmatrans.cl
SIMMA – GRUPO EMPRESAS,,RM,?,www.simma.cl
SODECA,,RM,?,www.sodeca.com
SOLETANCHE BACHY CHILE S.A.,,RM,?,www.soletanche-bachy.cl
SOLMEX,,RM,?,www.solmex.cl
SOLVAY CHILE,,RM,?,www.solvay.com
SORENA,,RM,?,www.sorena.cl
SUBTERRA INGENIERIA LTDA.,,RM,?,www.subterra-ing.com
TERRAIN,,RM,?,www.terrain.cl
THE ROBBINS COMPANY,,RM,?,www.robbinstbm.com
TIBA CHILE,,RM,?,www.tibagroup.com
TRANSAP S.A.,,RM,?,www.transap.cl
TRANSPORTE REDVAN,,RM,?,www.redvan.cl
TREMAC,,RM,?,www.tremac.cl
TRES60,,RM,?,www.tres60.cl
TUV RHEINLAND CHILE S.A.,,RM,?,www.tuv.com/chile/es/
TW LOGISTICA,,RM,?,www.tw.cl
ULMA CHILE ANDAMIOS Y MOLDAJES SPA,,RM,?,www.ulmaconstruction.cl
VALCK Y CIA S.A.,,RM,?,www.avalck.cl
VERTEX SPA,,RM,?,www.vertexmining.com
VOLKSWAGEN VEHICULOS COMERCIALES,,RM,?,www.volkswagen.cl
VULCAN INDUSTRIAL CHILE SPA,,RM,?,www.viecl.com
WEG CHILE S.A.,,RM,?,www.weg.net
WEIDMULLER,,RM,?,www.weidmuller.es
X-ELIO CHILE,,RM,?,www.x-elio.com
ZETAENE S.A.,,RM,?,www.zetaene.cl
MAN ENERGY SOLUTION CHILE LTDA.,,VI,?,www.chile.man-es.com
RECSOL S.A.,,VI,?,www.recsol.cl
TAMBO,,VI,?,www.tamboltda.cl
TRIX S.A.,,VI,?,www.trixsa.cl
ALS GLOBAL,,XVI,?,www.als-inspection.cl
CAPITAL DRILLING CHILE S.A.,,XVI,?,www.capdrill.com
EPSON CHILE S.A.,,VIII,?,www.epson.cl
LINKES CHILE S.A.,,VIII,?,www.linkes.cl
METALUSA CHILE SPA,,VIII,?,www.metalusa-chile.cl
SOLYSERV,,VIII,?,www.solyserv.cl
WURTH CHILE LTDA.,,VIII,?,www.wurth.cl
TUNNING INGENIERIA LTDA.,,IX,?,www.tunning.cl
VON UNGER REPRESENTACIONES LTDA.,,IX,?,www.vonunger.cl
FORACO,,XI,?,www.foraco.com
